"variable","category","count","percentage"
"timestamp","2022-11-10 23:31:26.529",1,0.41
"timestamp","2022-11-10 23:32:11.044",1,0.41
"timestamp","2022-11-10 23:32:53.199",1,0.41
"timestamp","2022-11-10 23:33:31.287",1,0.41
"timestamp","2022-11-10 23:34:17.356",1,0.41
"timestamp","2022-11-10 23:35:48.39",1,0.41
"timestamp","2022-11-10 23:36:29.578",1,0.41
"timestamp","2022-11-10 23:37:21.057",1,0.41
"timestamp","2022-11-10 23:38:03.921",1,0.41
"timestamp","2022-11-10 23:38:52.68",1,0.41
"timestamp","2022-11-10 23:40:53.475",1,0.41
"timestamp","2022-11-10 23:41:58.012",1,0.41
"timestamp","2022-11-10 23:42:48.898",1,0.41
"timestamp","2022-11-10 23:45:30.65",1,0.41
"timestamp","2022-11-10 23:47:02.327",1,0.41
"timestamp","2022-11-10 23:47:52.136",1,0.41
"timestamp","2022-11-10 23:48:46.778",1,0.41
"timestamp","2022-11-10 23:50:22.574",1,0.41
"timestamp","2022-11-11 00:00:36.134",1,0.41
"timestamp","2022-11-11 00:01:11.903",1,0.41
"timestamp","2022-11-11 00:02:00.037",1,0.41
"timestamp","2022-11-11 00:02:39.579",1,0.41
"timestamp","2022-11-11 00:03:33.847",1,0.41
"timestamp","2022-11-11 15:11:59.02",1,0.41
"timestamp","2022-11-11 15:13:10.376",1,0.41
"timestamp","2022-11-11 15:16:01.173",1,0.41
"timestamp","2022-11-11 15:16:53.214",1,0.41
"timestamp","2022-11-11 15:18:03.971",1,0.41
"timestamp","2022-11-11 15:27:37.173",1,0.41
"timestamp","2022-11-11 15:31:52.159",1,0.41
"timestamp","2022-11-11 15:54:30.662",1,0.41
"timestamp","2022-11-11 15:55:29.089",1,0.41
"timestamp","2022-11-11 16:03:01.882",1,0.41
"timestamp","2022-11-11 16:03:59.646",1,0.41
"timestamp","2022-11-11 16:05:22.071",1,0.41
"timestamp","2022-11-11 16:08:49.689",1,0.41
"timestamp","2022-11-11 16:42:25.241",1,0.41
"timestamp","2022-11-11 16:44:47.438",1,0.41
"timestamp","2022-11-11 16:53:47.748",1,0.41
"timestamp","2022-11-11 17:03:37.141",1,0.41
"timestamp","2022-11-11 17:04:10.433",1,0.41
"timestamp","2022-11-11 17:20:59.374",1,0.41
"timestamp","2022-11-11 17:40:52.64",1,0.41
"timestamp","2022-11-11 17:44:21.605",1,0.41
"timestamp","2022-11-11 17:46:47.223",1,0.41
"timestamp","2022-11-11 17:47:40.286",1,0.41
"timestamp","2022-11-11 18:35:11.653",1,0.41
"timestamp","2022-11-11 18:45:33.836",1,0.41
"timestamp","2022-11-11 19:09:42.035",1,0.41
"timestamp","2022-11-11 20:06:03.948",1,0.41
"timestamp","2022-11-11 21:26:06.707",1,0.41
"timestamp","2022-11-11 21:26:56.717",1,0.41
"timestamp","2022-11-11 21:27:56.195",1,0.41
"timestamp","2022-11-11 21:28:38.822",1,0.41
"timestamp","2022-11-11 21:29:16.095",1,0.41
"timestamp","2022-11-11 21:30:08.426",1,0.41
"timestamp","2022-11-11 21:31:28.461",1,0.41
"timestamp","2022-11-11 21:32:04.799",1,0.41
"timestamp","2022-11-11 21:32:37.6",1,0.41
"timestamp","2022-11-11 21:33:27.454",1,0.41
"timestamp","2022-11-11 22:20:35.099",1,0.41
"timestamp","2022-11-12 10:04:03.742",1,0.41
"timestamp","2022-11-12 10:05:22.761",1,0.41
"timestamp","2022-11-12 10:06:14.27",1,0.41
"timestamp","2022-11-12 10:06:59.044",1,0.41
"timestamp","2022-11-12 10:08:18.132",1,0.41
"timestamp","2022-11-12 10:13:19.032",1,0.41
"timestamp","2022-11-12 10:15:19.195",1,0.41
"timestamp","2022-11-12 10:16:50.432",1,0.41
"timestamp","2022-11-12 10:26:29.462",1,0.41
"timestamp","2022-11-12 10:32:24.837",1,0.41
"timestamp","2022-11-12 13:13:43.139",1,0.41
"timestamp","2022-11-12 14:09:06.355",1,0.41
"timestamp","2022-11-12 16:30:31.89",1,0.41
"timestamp","2022-11-12 17:14:05.426",1,0.41
"timestamp","2022-11-12 17:57:17.318",1,0.41
"timestamp","2022-11-12 19:30:32.292",1,0.41
"timestamp","2022-11-12 19:31:27.239",1,0.41
"timestamp","2022-11-12 22:33:12.908",1,0.41
"timestamp","2022-11-13 14:06:24.963",1,0.41
"timestamp","2022-11-13 14:15:30.837",1,0.41
"timestamp","2022-11-13 15:26:06.981",1,0.41
"timestamp","2022-11-13 18:56:59.723",1,0.41
"timestamp","2022-11-13 19:11:42.048",1,0.41
"timestamp","2022-11-13 19:42:07.511",1,0.41
"timestamp","2022-11-13 20:00:08.292",1,0.41
"timestamp","2022-11-13 20:33:24.08",1,0.41
"timestamp","2022-11-13 22:57:45.333",1,0.41
"timestamp","2022-11-13 23:02:47.395",1,0.41
"timestamp","2022-11-16 22:44:33.157",1,0.41
"location","ahmedabad",3,1.23
"location","bangalore",6,2.46
"location","bhandup",1,0.41
"location","bhopal",2,0.82
"location","bom",1,0.41
"location","bucharest",1,0.41
"location","calicut",1,0.41
"location","chennai",1,0.41
"location","delhi",2,0.82
"location","gujarat",2,0.82
"location","gurugram",1,0.41
"location","hyderabad",1,0.41
"location","ichalkaranji",4,1.64
"location","indore",1,0.41
"location","jalandhar",1,0.41
"location","k",1,0.41
"location","kalyan",1,0.41
"location","ketan mehta",1,0.41
"location","kolhapur",33,13.52
"location","kolhapye",1,0.41
"location","kolkata",2,0.82
"location","lagos",1,0.41
"location","london",1,0.41
"location","mumbai",142,58.2
"location","nagala park",1,0.41
"location","nanded",1,0.41
"location","nashik",1,0.41
"location","nellore",1,0.41
"location","palghar",4,1.64
"location","pune",8,3.28
"location","san francisco",1,0.41
"location","singapore",1,0.41
"location","thane",4,1.64
"location","vapi",1,0.41
"location","vasai",3,1.23
"location","vasgade",5,2.05
"location","viman nagar",1,0.41
"location","virar",1,0.41
"gender","Female",98,40.16
"gender","Male",146,59.84
"age","Less than 18",6,2.46
"age","18-24",159,65.16
"age","25-34",23,9.43
"age","35-44",28,11.48
"age","45-54",21,8.61
"age","More than 55",7,2.87
"education","Other",4,1.64
"education","High school",37,15.16
"education","College",47,19.26
"education","Undergraduate",128,52.46
"education","Post-Graduate",28,11.48
"wellness_routine","Badminton",1,0.41
"wellness_routine","HIIT exercises from YouTube daily",1,0.41
"wellness_routine","I don't follow any wellness/fitness routine",34,13.93
"wellness_routine","Light physical activity (running, push-ups, sit-ups etc.)",70,28.69
"wellness_routine","Meditation/Mindfulness practice",26,10.66
"wellness_routine","Physical Exercise + Yoga",1,0.41
"wellness_routine","Rigorous physical exercise with equipments (e.g. weight training, cross-fit etc.)",58,23.77
"wellness_routine","Swimming & cycling",1,0.41
"wellness_routine","Walking & Stretching excercise",1,0.41
"wellness_routine","Walking for an hour",1,0.41
"wellness_routine","Yoga & breathing exercises",50,20.49
"challenge_wellness_routine","Can't afford to spend on gym/classes subscription",1,0.41
"challenge_wellness_routine","Can't afford to spend on gym/classes subscription, Lack of motivation / time",3,1.23
"challenge_wellness_routine","Can't find a good trainer/expert practitioner",3,1.23
"challenge_wellness_routine","Can't find a good trainer/expert practitioner, Can't afford to spend on gym/classes subscription, I follow a regular wellness/fitness routine",2,0.82
"challenge_wellness_routine","Can't find a good trainer/expert practitioner, Can't afford to spend on gym/classes subscription, Lack of motivation / time",4,1.64
"challenge_wellness_routine","Can't find a good trainer/expert practitioner, Can't afford to spend on gym/classes subscription, Lack of motivation / time, I follow a regular wellness/fitness routine",3,1.23
"challenge_wellness_routine","Can't find a good trainer/expert practitioner, I follow a regular wellness/fitness routine",1,0.41
"challenge_wellness_routine","Can't find a good trainer/expert practitioner, Lack of motivation / time",3,1.23
"challenge_wellness_routine","Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby",1,0.41
"challenge_wellness_routine","Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, Can't afford to spend on gym/classes subscription, I follow a regular wellness/fitness routine",1,0.41
"challenge_wellness_routine","Can't find a good trainer/expert practitioner, Unavailability of a good gym/classes nearby, Lack of motivation / time",1,0.41
"challenge_wellness_routine","Diet",1,0.41
"challenge_wellness_routine","Don't know where and how to start",11,4.51
"challenge_wellness_routine","Don't know where and how to start, Can't afford to spend on gym/classes subscription, I follow a regular wellness/fitness routine",2,0.82
"challenge_wellness_routine","Don't know where and how to start, Can't afford to spend on gym/classes subscription, Lack of motivation / time",3,1.23
"challenge_wellness_routine","Don't know where and how to start, Can't find a good trainer/expert practitioner",1,0.41
